parallelism,windowStep,approach,steps,expfrequency,vertexName,execDuration,readRecords,writeRecords,throughput
30,1,loop,5,0, "Source: Graph Source -> Map -> Flat Map -> Assign Watermarks", 262499, 0, 0, 0.0
30,1,loop,5,0, "Source: Collection Source", 2846, 0, 0, 0.0
30,1,loop,5,0, "Create Nodes (Window)", 262435, 0, 0, 0.0
30,1,loop,5,0, "Graph Process", 262362, 0, 0, 0.0
30,1,loop,5,0, "Graph Process", 262332, 0, 0, 0.0
30,1,loop,5,0, "Graph Process", 262278, 0, 0, 0.0
30,1,loop,5,0, "Graph Process", 262242, 0, 0, 0.0
30,1,loop,5,0, "Graph Process", 262208, 0, 0, 0.0
30,1,loop,5,0, "Graph Process -> (Map -> Output Sink: Writer -> Output Sink: Committer- Map)", 262191, 0, 0, 0.0
30,1,loop,5,0, "Latency Sink: Writer", 262168, 0, 0, 0.0
30,1,loop,5,0, "Latency Sink: Committer", 262142, 0, 0, 0.0
